DATE,Day,USAGE,NOTIFICATION,TIMES_OPENED,TYPE,Avg_Session_Duration,APP
2025-01-23,Thursday,40,28,48,1,0.833333333,Facebook
2025-01-24,Friday,19,35,28,1,0.678571429,Facebook
2025-01-25,Saturday,12,54,22,1,0.545454545,Facebook
2025-01-26,Sunday,32,29,21,1,1.523809524,Facebook
2025-01-27,Monday,23,54,22,1,1.045454545,Facebook
2025-01-28,Tuesday,12,58,19,1,0.631578947,Facebook
2025-01-29,Wednesday,28,43,18,1,1.555555556,Facebook
2025-01-30,Thursday,12,32,23,1,0.52173913,Facebook
2025-01-31,Friday,10,12,15,1,0.666666667,Facebook
2025-01-01,Wednesday,24,13,8,3,3,LinkedIn
2025-01-02,Thursday,13,8,1,3,13,LinkedIn
2025-01-03,Friday,17,13,9,3,1.888888889,LinkedIn
2025-01-04,Saturday,21,10,8,3,2.625,LinkedIn
2025-01-05,Sunday,10,6,6,3,1.666666667,LinkedIn
2025-01-06,Monday,16,14,5,3,3.2,LinkedIn
2025-01-07,Tuesday,25,12,5,3,5,LinkedIn
2025-01-08,Wednesday,7,4,4,3,1.75,LinkedIn
2025-01-09,Thursday,22,10,1,3,22,LinkedIn
2025-01-10,Friday,19,2,5,3,3.8,LinkedIn
2025-01-11,Saturday,7,8,9,3,0.777777778,LinkedIn
2025-01-12,Sunday,16,11,8,3,2,LinkedIn
2025-01-13,Monday,16,9,5,3,3.2,LinkedIn
2025-01-14,Tuesday,8,11,8,3,1,LinkedIn
2025-01-15,Wednesday,22,13,5,3,4.4,LinkedIn
2025-01-16,Thursday,8,12,6,3,1.333333333,LinkedIn
2025-01-17,Friday,13,2,5,3,2.6,LinkedIn
2025-01-18,Saturday,17,13,3,3,5.666666667,LinkedIn
2025-01-19,Sunday,10,3,3,3,3.333333333,LinkedIn
2025-01-20,Monday,19,10,2,3,9.5,LinkedIn
2025-01-21,Tuesday,22,12,5,3,4.4,LinkedIn
2025-01-22,Wednesday,5,7,1,3,5,LinkedIn
2025-01-23,Thursday,19,2,5,3,3.8,LinkedIn
2025-01-24,Friday,21,14,1,3,21,LinkedIn
2025-01-25,Saturday,13,4,1,3,13,LinkedIn
2025-01-26,Sunday,21,12,3,3,7,LinkedIn
2025-01-27,Monday,19,6,2,3,9.5,LinkedIn
2025-01-28,Tuesday,23,7,1,3,23,LinkedIn
2025-01-29,Wednesday,13,4,1,3,13,LinkedIn
2025-01-30,Thursday,11,3,11,3,1,LinkedIn
2025-01-31,Friday,21,2,12,3,1.75,LinkedIn
